Done in 9.838456153869629
3+00:00] Imported: 1, batch_size: 50
[2022-12-14 20:32:02.585881+00:00] Imported: 309, batch_size: 50
[2022-12-14 20:32:02.587280+00:00] Imported: 310, batch_size: 50
[2022-12-14 20:32:02.591629+00:00] Imported: 311, batch_size: 50
[2022-12-14 20:32:02.593187+00:00] Imported: 312, batch_size: 50
[2022-12-14 20:32:02.594787+00:00] Imported: 313, batch_size: 50
[2022-12-14 20:32:02.596211+00:00] Imported: 314, batch_size: 50
[2022-12-14 20:32:02.597579+00:00] Imported: 315, batch_size: 50
[2022-12-14 20:32:02.599005+00:00] Imported: 316, batch_size: 50
[2022-12-14 20:32:02.600637+00:00] Imported: 317, batch_size: 50
[2022-12-14 20:32:02.602099+00:00] Imported: 318, batch_size: 50
[2022-12-14 20:32:02.603479+00:00] Imported: 319, batch_size: 50
[2022-12-14 20:32:02.604885+00:00] Imported: 320, batch_size: 50
[2022-12-14 20:32:02.606398+00:00] Imported: 321, batch_size: 50
[2022-12-14 20:32:02.607985+00:00] Imported: 322, batch_size: 50
[2022-12-14 20:32:02.609391+00:00] Imported: 323, batch_size: 50
[2022-12-14 20:32:02.610730+00:00] Imported: 324, batch_size: 50
[2022-12-14 20:32:02.612203+00:00] Imported: 325, batch_size: 50
[2022-12-14 20:32:02.613570+00:00] Imported: 326, batch_size: 50
[2022-12-14 20:32:02.614938+00:00] Imported: 327, batch_size: 50
[2022-12-14 20:32:02.616346+00:00] Imported: 328, batch_size: 50
[2022-12-14 20:32:02.617866+00:00] Imported: 329, batch_size: 50
[2022-12-14 20:32:02.619230+00:00] Imported: 330, batch_size: 50
[2022-12-14 20:32:02.620558+00:00] Imported: 331, batch_size: 50
[2022-12-14 20:32:02.621896+00:00] Imported: 332, batch_size: 50
[2022-12-14 20:32:02.623301+00:00] Imported: 333, batch_size: 50
[2022-12-14 20:32:02.624654+00:00] Imported: 334, batch_size: 50
[2022-12-14 20:32:02.625986+00:00] Imported: 335, batch_size: 50
[2022-12-14 20:32:02.627305+00:00] Imported: 336, batch_size: 50
[2022-12-14 20:32:02.628675+00:00] Imported: 337, batch_size: 50
[2022-12-14 20:32:02.630067+00:00] Imported: 338, batch_size: 50
[2022-12-14 20:32:02.631405+00:00] Imported: 339, batch_size: 50
[2022-12-14 20:32:02.632885+00:00] Imported: 340, batch_size: 50
[2022-12-14 20:32:02.634250+00:00] Imported: 341, batch_size: 50
[2022-12-14 20:32:02.635682+00:00] Imported: 342, batch_size: 50
[2022-12-14 20:32:02.637052+00:00] Imported: 343, batch_size: 50
